uparam,group_index,possibility,realism
Stim_uparam_107_Viewpoint_1_scale_8,0,4.5,3.923
Stim_uparam_107_Viewpoint_2_scale_8,0,4.28,3.88
Stim_uparam_107_Viewpoint_3_scale_8,0,4.318,4.091
Stim_uparam_27_Viewpoint_1_scale_32,0,4.609,4.0
Stim_uparam_26_Viewpoint_2_scale_32,0,4.48,4.0
Stim_uparam_98_Viewpoint_3_scale_8,0,4.231,3.692
Stim_uparam_52_Viewpoint_1_scale_8,0,4.296,3.963
Stim_uparam_52_Viewpoint_2_scale_8,0,4.6,4.4
Stim_uparam_52_Viewpoint_3_scale_8,0,4.615,4.154
Stim_uparam_9_Viewpoint_1_scale_96,0,4.185,4.0
Stim_uparam_9_Viewpoint_2_scale_96,0,4.556,4.148
Stim_uparam_9_Viewpoint_3_scale_96,0,4.542,3.833
Stim_uparam_154_Viewpoint_1_scale_32,0,4.6,4.24
Stim_uparam_154_Viewpoint_2_scale_32,0,3.92,3.96
Stim_uparam_154_Viewpoint_3_scale_32,0,4.458,4.333
Stim_uparam_79_Viewpoint_1_scale_32,0,4.625,4.167
Stim_uparam_79_Viewpoint_3_scale_32,0,4.808,4.769
Stim_uparam_124_Viewpoint_2_scale_8,0,4.348,4.087
Stim_uparam_124_Viewpoint_3_scale_8,0,4.5,4.0
Stim_uparam_145_Viewpoint_1_scale_8,0,4.423,4.423
Stim_uparam_145_Viewpoint_2_scale_8,0,4.583,3.875
Stim_uparam_140_Viewpoint_1_scale_8,0,4.407,4.185
Stim_uparam_140_Viewpoint_2_scale_8,0,4.538,3.962
Stim_uparam_140_Viewpoint_3_scale_8,0,4.481,4.111
Stim_uparam_42_Viewpoint_1_scale_32,0,4.385,3.846
Stim_uparam_42_Viewpoint_3_scale_32,0,4.2,4.15
Stim_uparam_64_Viewpoint_1_scale_32,0,4.138,3.793
Stim_uparam_64_Viewpoint_3_scale_32,0,4.385,4.192
Stim_uparam_49_Viewpoint_1_scale_32,0,4.577,4.0
Stim_uparam_49_Viewpoint_2_scale_32,0,4.292,3.958
Stim_uparam_49_Viewpoint_3_scale_32,0,4.296,4.074
Stim_uparam_136_Viewpoint_1_scale_32,0,4.76,4.32
Stim_uparam_136_Viewpoint_3_scale_32,0,4.536,3.821
Stim_uparam_90_Viewpoint_2_scale_8,0,4.346,4.038
Stim_uparam_90_Viewpoint_3_scale_8,0,4.615,4.115
Stim_uparam_114_Viewpoint_1_scale_8,0,4.64,4.16
Stim_uparam_114_Viewpoint_2_scale_8,0,4.308,4.077
