uparam,viewpoint,possible_2d,possible_3d, difficult
1, 1, 0, 0, 0
1, 2, 0, 0, 0
1, 3, 0, 0, 0
2, 1, 0, 0, 1
2, 2, 0, 0, 0
2, 3, 0, 0, 0
3, 1, 0, 0, 1
3, 2, 0, 0, 1
3, 3, 0, 0, 1
6, 1, 0, 0, 0
6, 2, 1, 0, 1
6, 3, 1, 0, 1
9, 1, 1, 1, 0
9, 2, 1, 1, 0
9, 3, 1, 1, 0
13, 1, 0, 0, 0
13, 2, 1, 0, 1
13, 3, 0, 0, 0
15, 1, 0, 0, 0
15, 2, 1, 0, 0
15, 3, 1, 0, 0
16, 1, 1, 1, 0
16, 2, 1, 1, 0
16, 3, 1, 1, 0
17, 1, 1, 1, 0
17, 2, 1, 1, 0
17, 3, 1, 1, 0
18, 1, 0, 0, 0
18, 2, 0, 0, 0
18, 3, 0, 0, 0
19, 1, 0, 0, 0
19, 2, 0, 0, 0
19, 3, 0, 0, 0
25, 1, 0, 0, 0
25, 2, 0, 0, 0
25, 3, 0, 0, 0
26, 1, 1, 1, 0
26, 2, 1, 1, 0
26, 3, 1, 1, 0
27, 1, 1, 1, 0
27, 2, 1, 1, 0
27, 3, 1, 1, 0
29, 1, 1, 1, 0
29, 2, 1, 1, 0
29, 3, 1, 1, 0
30, 1, 1, 0, 1
30, 2, 1, 0, 1
30, 3, 1, 0, 1
32, 1, 0, 0, 0
32, 2, 0, 0, 0
32, 3, 0, 0, 0
33, 1, 1, 1, 0
33, 2, 1, 1, 0
33, 3, 1, 1, 0
36, 1, 0, 0, 0
36, 2, 0, 0, 0
36, 3, 0, 0, 0
37, 1, 1, 1, 0
37, 2, 1, 1, 0
37, 3, 1, 1, 0
40, 1, 1, 1, 0
40, 2, 1, 1, 0
40, 3, 1, 1, 0
42, 1, 0, 1, 1
42, 2, 1, 1, 0
42, 3, 1, 1, 0
43, 1, 0, 0, 0
43, 2, 0, 0, 0
43, 3, 0, 0, 0
44, 1, 1, 1, 0
44, 2, 1, 1, 0
44, 3, 1, 1, 0
46, 1, 0, 0, 0
46, 2, 0, 0, 0
46, 3, 0, 0, 0
47, 1, 1, 1, 1
47, 2, 1, 1, 1
47, 3, 1, 1, 1
48, 1, 1, 1, 0
48, 2, 1, 1, 0
48, 3, 1, 1, 0
49, 1, 1, 1, 0
49, 2, 1, 1, 0
49, 3, 1, 1, 0
50, 1, 0, 0, 1
50, 2, 0, 0, 1
50, 3, 0, 0, 1
51, 1, 1, 1, 0
51, 2, 1, 1, 0
51, 3, 1, 1, 0
52, 1, 1, 1, 0
52, 2, 1, 1, 0
52, 3, 1, 1, 0
53, 1, 0, 0, 0
53, 2, 0, 0, 0
53, 3, 0, 0, 0
56, 1, 1, 1, 0
56, 2, 1, 1, 0
56, 3, 1, 1, 0
60, 1, 1, 0, 0
60, 2, 0, 0, 0
60, 3, 0, 0, 0
61, 1, 1, 1, 0
61, 2, 1, 1, 0
61, 3, 1, 1, 0
63, 1, 1, 1, 0
63, 2, 1, 1, 0
63, 3, 1, 1, 0
64, 1, 0, 0, 0
64, 2, 1, 0, 0
64, 3, 1, 0, 0
65, 1, 1, 0, 0
65, 2, 0, 0, 0
65, 3, 0, 0, 0
66, 1, 1, 1, 1
66, 2, 1, 1, 1
66, 3, 1, 1, 1
67, 1, 1, 1, 1
67, 2, 1, 1, 1
67, 3, 1, 1, 1
68, 1, 1, 1, 0
68, 2, 1, 1, 0
68, 3, 1, 1, 0
69, 1, 1, 1, 0
69, 2, 1, 1, 0
69, 3, 1, 1, 0
71, 1, 0, 0, 0
71, 2, 0, 0, 0
71, 3, 0, 0, 1
72, 1, 1, 1, 0
72, 2, 1, 1, 0
72, 3, 1, 1, 0
74, 1, 1, 1, 0
74, 2, 1, 1, 0
74, 3, 1, 1, 0
79, 1, 1, 1, 0
79, 2, 1, 1, 0
79, 3, 1, 1, 0
80, 1, 1, 1, 0
80, 2, 1, 1, 0
80, 3, 1, 1, 0
81, 1, 0, 0, 0
81, 2, 1, 0, 0
81, 3, 1, 0, 0
88, 1, 1, 1, 0
88, 2, 1, 1, 0
88, 3, 1, 1, 0
89, 1, 1, 1, 0
89, 2, 1, 1, 0
89, 3, 1, 1, 0
90, 1, 0, 0, 0
90, 2, 1, 0, 0
90, 3, 1, 0, 0
91, 1, 1, 1, 1
91, 2, 1, 1, 1
91, 3, 1, 1, 1
93, 1, 1, 1, 0
93, 2, 1, 1, 0
93, 3, 1, 1, 0
95, 1, 1, 1, 0
95, 2, 1, 1, 0
95, 3, 1, 1, 0
96, 1, 1, 1, 0
96, 2, 1, 1, 0
96, 3, 1, 1, 0
98, 1, 0, 0, 0
98, 2, 0, 0, 0
98, 3, 0, 0, 0
99, 1, 1, 1, 0
99, 2, 1, 1, 0
99, 3, 1, 1, 0
100, 1, 1, 1, 0
100, 2, 1, 1, 0
100, 3, 1, 1, 0
101, 1, 0, 0, 0
101, 2, 0, 0, 0
101, 3, 0, 0, 0
102, 1, 0, 0, 0
102, 2, 1, 0, 0
102, 3, 1, 0, 0
107, 1, 1, 1, 0
107, 2, 1, 1, 0
107, 3, 1, 1, 0
109, 1, 1, 1, 0
109, 2, 1, 1, 0
109, 3, 1, 1, 0
111, 1, 1, 1, 0
111, 2, 1, 1, 0
111, 3, 1, 1, 0
112, 1, 1, 1, 0
112, 2, 1, 1, 0
112, 3, 1, 1, 0
113, 1, 1, 1, 0
113, 2, 1, 1, 0
113, 3, 1, 1, 0
114, 1, 1, 1, 0
114, 2, 1, 1, 0
114, 3, 1, 1, 0
115, 1, 1, 1, 0
115, 2, 1, 1, 0
115, 3, 1, 1, 0
118, 1, 0, 0, 0
